t=2022-11-29T19:03:59+0000 lvl=info msg="starting web service" obj=web addr=0.0.0.0:4040
t=2022-11-29T19:04:00+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-11-29T19:04:00+0000 lvl=info msg="client session established" obj=csess id=07c1d439cd00
t=2022-11-29T19:04:01+0000 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://backend:5111 url=http://f2d3-62-16-0-35.ngrok.io
t=2022-11-29T19:04:01+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://backend:5111 url=https://f2d3-62-16-0-35.ngrok.io
t=2022-11-29T19:04:48+0000 lvl=info msg="join connections" obj=join id=4d31cc2fdc5d l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:49+0000 lvl=info msg="join connections" obj=join id=3b6ceec55e30 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:49+0000 lvl=info msg="join connections" obj=join id=194d502c73f2 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:50+0000 lvl=info msg="join connections" obj=join id=7a03318a1730 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:50+0000 lvl=info msg="join connections" obj=join id=3a9a8900712d l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:50+0000 lvl=info msg="join connections" obj=join id=1265e16fdb42 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:50+0000 lvl=info msg="join connections" obj=join id=6022c62d8759 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:51+0000 lvl=info msg="join connections" obj=join id=3337b8151f75 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:51+0000 lvl=info msg="join connections" obj=join id=f92fa4570b2c l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:52+0000 lvl=info msg="join connections" obj=join id=a2dd0aa658e6 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:52+0000 lvl=info msg="join connections" obj=join id=156abc80bdcf l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:53+0000 lvl=info msg="join connections" obj=join id=77313345db69 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:53+0000 lvl=info msg="join connections" obj=join id=3ab4771fb81b l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:54+0000 lvl=info msg="join connections" obj=join id=713dceb83ef6 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:54+0000 lvl=info msg="join connections" obj=join id=3305b42ce568 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:55+0000 lvl=info msg="join connections" obj=join id=fc78fdab0947 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:55+0000 lvl=info msg="join connections" obj=join id=76350ebf513a l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:56+0000 lvl=info msg="join connections" obj=join id=834b9412a3e5 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:56+0000 lvl=info msg="join connections" obj=join id=c27bdf2cfc72 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:56+0000 lvl=info msg="join connections" obj=join id=a852f7035719 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:57+0000 lvl=info msg="join connections" obj=join id=d09384647e6c l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:57+0000 lvl=info msg="join connections" obj=join id=9dc50cc21344 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:57+0000 lvl=info msg="join connections" obj=join id=438fc7d7d9ce l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:58+0000 lvl=info msg="join connections" obj=join id=cfd12ae5e270 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:58+0000 lvl=info msg="join connections" obj=join id=bc43074e204e l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:04:59+0000 lvl=info msg="join connections" obj=join id=a8ee8f25cc44 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:59+0000 lvl=info msg="join connections" obj=join id=384b273295ba l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:00+0000 lvl=info msg="join connections" obj=join id=880785afc3a6 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:00+0000 lvl=info msg="join connections" obj=join id=9b2b244a4518 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:01+0000 lvl=info msg="join connections" obj=join id=653c80a123b2 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:01+0000 lvl=info msg="join connections" obj=join id=8f0151bc1e98 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:02+0000 lvl=info msg="join connections" obj=join id=5fe08021a944 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:02+0000 lvl=info msg="join connections" obj=join id=bb1cdd11a771 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:02+0000 lvl=info msg="join connections" obj=join id=e48b4903c1b2 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:03+0000 lvl=info msg="join connections" obj=join id=79a2bac2e852 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:03+0000 lvl=info msg="join connections" obj=join id=db725e804eaa l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:03+0000 lvl=info msg="join connections" obj=join id=3b3fd4802b55 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:04+0000 lvl=info msg="join connections" obj=join id=403b497a5992 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:04+0000 lvl=info msg="join connections" obj=join id=ba6e9b5d8e05 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:05+0000 lvl=info msg="join connections" obj=join id=d6b2c350f169 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:06+0000 lvl=info msg="join connections" obj=join id=75d98ba25578 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:07+0000 lvl=info msg="join connections" obj=join id=109679a4b8b1 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:07+0000 lvl=info msg="join connections" obj=join id=3321b57254f9 l=172.24.0.3:5111 r=34.196.237.253:17046
t=2022-11-29T19:05:07+0000 lvl=info msg="join connections" obj=join id=3f2233545bc9 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:09+0000 lvl=info msg="join connections" obj=join id=f8e36a37a50d l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:09+0000 lvl=info msg="join connections" obj=join id=a6e9fdffc4da l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:10+0000 lvl=info msg="join connections" obj=join id=4429a2866fb5 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:10+0000 lvl=info msg="join connections" obj=join id=6905d86a1b1a l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:11+0000 lvl=info msg="join connections" obj=join id=102adabfdf43 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:11+0000 lvl=info msg="join connections" obj=join id=cfea4585ab3c l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:12+0000 lvl=info msg="join connections" obj=join id=e5b1407af7b0 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:12+0000 lvl=info msg="join connections" obj=join id=07dd8f96ffd1 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:13+0000 lvl=info msg="join connections" obj=join id=ab01cb6b4ae8 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:13+0000 lvl=info msg="join connections" obj=join id=54929e10679c l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:14+0000 lvl=info msg="join connections" obj=join id=8f5bd80689f5 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:14+0000 lvl=info msg="join connections" obj=join id=bc8610364fac l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:15+0000 lvl=info msg="join connections" obj=join id=f566b7a154f0 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:15+0000 lvl=info msg="join connections" obj=join id=c5d3e54bd283 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:16+0000 lvl=info msg="join connections" obj=join id=2d8cd0c11b68 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:16+0000 lvl=info msg="join connections" obj=join id=777f1e0dbc55 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:17+0000 lvl=info msg="join connections" obj=join id=d67f011209d0 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:17+0000 lvl=info msg="join connections" obj=join id=73b0a0e47b22 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:18+0000 lvl=info msg="join connections" obj=join id=3e9733c584b2 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:18+0000 lvl=info msg="join connections" obj=join id=f9868c2009e6 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:18+0000 lvl=info msg="join connections" obj=join id=aba9739b905b l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:19+0000 lvl=info msg="join connections" obj=join id=d7371e1f898a l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:19+0000 lvl=info msg="join connections" obj=join id=77a1866944d0 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:19+0000 lvl=info msg="join connections" obj=join id=71d59c338436 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:20+0000 lvl=info msg="join connections" obj=join id=38f280ea8a39 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:20+0000 lvl=info msg="join connections" obj=join id=83a9397665ca l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:21+0000 lvl=info msg="join connections" obj=join id=59d6a1345ff5 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:21+0000 lvl=info msg="join connections" obj=join id=9ffa057e2f80 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:22+0000 lvl=info msg="join connections" obj=join id=a20b0405f68d l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:22+0000 lvl=info msg="join connections" obj=join id=617c5f68b109 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:22+0000 lvl=info msg="join connections" obj=join id=22bf923fb061 l=172.24.0.3:5111 r=34.196.237.253:36175
t=2022-11-29T19:05:22+0000 lvl=info msg="join connections" obj=join id=96d3872bf7d0 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:23+0000 lvl=info msg="join connections" obj=join id=3198f498068e l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:23+0000 lvl=info msg="join connections" obj=join id=6b0a25ee2d70 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:23+0000 lvl=info msg="join connections" obj=join id=97d8b5aec95f l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:24+0000 lvl=info msg="join connections" obj=join id=b923e0b542ac l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:25+0000 lvl=info msg="join connections" obj=join id=5d3c8a72d942 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:25+0000 lvl=info msg="join connections" obj=join id=9d403090bc20 l=172.24.0.3:5111 r=34.196.237.253:36175
t=2022-11-29T19:05:25+0000 lvl=info msg="join connections" obj=join id=7ef9292cb8cc l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:25+0000 lvl=info msg="join connections" obj=join id=feb83fa494ea l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:26+0000 lvl=info msg="join connections" obj=join id=13c2d520c5ae l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:26+0000 lvl=info msg="join connections" obj=join id=50975980022d l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:27+0000 lvl=info msg="join connections" obj=join id=bd942adf15db l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:27+0000 lvl=info msg="join connections" obj=join id=0a9e325ab2b1 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:28+0000 lvl=info msg="join connections" obj=join id=44009c155617 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:28+0000 lvl=info msg="join connections" obj=join id=5ca9a9746762 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:29+0000 lvl=info msg="join connections" obj=join id=6dafe58e6376 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:29+0000 lvl=info msg="join connections" obj=join id=6e662be43f1a l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:30+0000 lvl=info msg="join connections" obj=join id=150ee2ca1902 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:30+0000 lvl=info msg="join connections" obj=join id=7d4b998fe943 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:30+0000 lvl=info msg="join connections" obj=join id=823c2394b32d l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:30+0000 lvl=info msg="join connections" obj=join id=6019e6f0c625 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:31+0000 lvl=info msg="join connections" obj=join id=ead38b56f1c9 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:31+0000 lvl=info msg="join connections" obj=join id=ac48409ce9ec l=172.24.0.3:5111 r=34.196.237.253:5910
